"","Nutlin-3","PHA-665752","Sorafenib","17-AAG","PLX4720","Paclitaxel","Erlotinib","Lapatinib","AZD0530","TAE684","PD-0332991","AZD6244","Nilotinib","PD-0325901"
"DATA.908151",2.88,0.94,0.64,2.25,4.69,-5.68,2.81,2.32,2.07,0.71,2.71,2.98,2.64,0.13
"DATA.908150",5.3,3.13,2.29,-1.22,5.02,-0.59,1.26,2.06,1.89,-0.68,2.65,2.83,2.08,0.55
"DATA.908149",1.67,3.39,3.79,0.42,4.6,0.42,3.41,3.39,3.3,3.4,-1.69,2.58,1.64,-0.42
"DATA.908148",3.52,2.31,-3.54,-0.88,2.88,-3.6,2.63,2.2,2.11,-1.18,1.66,2.14,1.83,0.64
"DATA.908143",3.78,3.51,3.01,2.83,5.13,0,3.51,3.52,3.07,2.22,4.12,4.1,3.41,1.41
"DATA.908142",4.08,3.23,3.81,0.14,3.31,-2.73,2.84,3.23,1.92,1.66,0.93,2.82,1.42,-0.27
"DATA.908141",2.03,2.81,1.3,0.04,2.92,-4.49,2.76,2.86,2.81,-1.06,2.75,-0.86,1.77,-1.94
"DATA.908136",3.35,2.87,1.17,2.17,3.78,-4.44,2.87,1.94,2.17,1.69,-1.17,2.47,1.89,0.54
"DATA.908126",3.77,3,0.52,0.98,2.97,-3.43,1.87,2.28,-1.58,0.63,2.67,0.19,-5.24,-2.31
"DATA.907799",2.98,1.59,1.48,0.9,3.19,-5.46,0.84,1.6,1.38,0.88,2.29,2.18,1.6,-0.48
"DATA.907795",4,2.82,2.72,-0.59,5.09,-0.85,-0.18,0.38,3.4,0.71,0.13,0.01,3.08,-4.29
"DATA.907794",5.08,2.94,1.72,-0.77,2.03,-5.13,2.54,2.24,3.7,-0.62,3.67,-0.85,3.43,-2.35
"DATA.907791",3.39,2.61,1.22,2.11,3.34,-2.37,2.52,2.13,2.8,0.44,3.5,3.45,2.8,0.72
"DATA.907787",2.47,3.27,1.52,2.84,4,-3.47,3.53,3.42,1.13,2.51,3.26,2.79,2.83,0.84
"DATA.907783",2.66,3.3,0.43,-0.73,1.96,-2.4,2.16,3.3,-1.86,0.83,-1.2,2.26,-6.34,-3.79
"DATA.907323",1.2,2.64,1.09,0.1,4.52,-3.16,2.42,2.2,2.33,0.72,2.15,2.93,1.99,-0.2
"DATA.907322",4.23,3.08,2.89,2.4,4.45,-2.34,3.09,3.09,3.05,1.78,3.25,3.7,3.09,1
"DATA.907314",4.75,1.91,4.36,1.17,3.14,-1.83,0.49,2.61,2.33,0.33,4.24,2.54,3.34,0.37
"DATA.907313",1.1,1.92,1.75,-4.07,5.24,-5.2,0.3,0.38,0.24,-1.56,0.87,0.85,3.71,-1.21
"DATA.907311",2.97,2.39,1.81,-0.29,2.72,-3.85,2.87,2.64,1.26,1.11,1.45,-1.01,-4.61,-3.97
"DATA.907282",5,3.6,2.4,0.07,5.35,-4.52,2.28,2.09,1.23,2.32,0.99,3.59,3.68,1.21
"DATA.907280",3.25,2.85,0.76,1.13,3.09,-1.35,2.88,2.48,2.78,0.87,1.57,-2.57,0.61,-5.77
"DATA.907279",5.46,-1.59,3.95,-1.33,5.64,-3.83,4.02,3.65,1.1,1.98,1.33,2.74,3.85,-1.13
"DATA.907277",2.63,1.64,1.25,0.41,1.67,-4.32,1.98,2.21,2.24,-0.09,-1.29,2.91,2.03,0.16
"DATA.907274",4.28,3.26,3.98,0.19,3.8,-3.01,3.17,3.29,2.94,0.37,2.09,2.65,3.1,0.54
"DATA.907273",3.12,2.7,2.78,-0.58,2.56,-3.01,2.7,2.6,2.7,-3.13,1.06,2.5,1.93,-1.06
"DATA.907270",0.74,3.34,2.76,-0.9,1.78,0.36,3.3,3.34,3.34,3.34,1.27,2.31,1.18,-1.2
"DATA.907269",2.08,3.52,3.78,0.38,2.36,-0.46,3.15,3.53,2.08,2.44,1.5,2.18,2.11,0.39
"DATA.907268",3.72,2.9,1.46,1.2,3.18,-3.83,2.71,2.87,2.39,2.29,2.52,3.54,2.87,0.83
"DATA.907172",4.16,2.75,1.89,-5.48,2.44,-4.04,2.67,1.36,2.35,1.58,1.03,1.38,3.36,-0.76
"DATA.907170",2.24,1.1,3.24,2.06,4.15,-5.53,2.56,2.74,2.75,2.75,3.45,2.8,2.69,0.67
"DATA.907056",3.25,3.54,2.57,0.91,3.6,-3.02,3.84,3.54,2.86,3.02,-0.09,3.57,3.09,0.37
"DATA.907043",4.02,1.99,1.7,-0.4,4.19,-5.25,1.66,2.19,2.04,0.55,3.33,-0.38,2.65,-1.83
"DATA.907041",2.84,2.86,2.74,-2.63,4.39,-6.04,2.84,1.47,2.79,0.59,0.35,0.21,2.28,0.51
"DATA.906877",2.98,3.06,3.96,1.13,2.48,-2.88,3.64,3.35,3.28,-0.21,1.49,4.11,3.62,1.1
"DATA.906875",1.58,3.12,1.44,-0.81,4.1,-2.32,3.57,3.52,2.13,1.41,1.44,3.72,3.45,-0.05
"DATA.906872",2.15,3.64,1.99,0.05,4.7,-3.01,2.62,2.37,2.97,-0.02,1.22,-0.32,3.25,-1.18
"DATA.906871",3.42,1.35,1.51,-1.85,4.06,-5.72,2.96,1.31,0.39,0.13,3.55,1.73,1.75,-0.44
"DATA.906870",2.01,0.68,-3.19,0.99,4.06,-4.27,2.71,2.87,-0.97,-2.83,3.74,1.96,0.97,0.96
"DATA.906862",4.19,2.69,1.52,-3.15,3.7,-3.52,2.65,1.73,1.96,1.9,1.88,3.24,2.81,-0.54
"DATA.906861",4.63,1.62,3.28,-2.21,5.12,-6.06,1.2,1.31,1.27,-0.04,0.5,1.98,3.16,0.08
"DATA.906856",0.83,1.68,2.77,-0.54,1.46,-4.36,2.61,2.62,0.69,1.88,-0.77,0.17,-5.96,-2.44
"DATA.906855",3.91,3.4,0.45,0.72,3.47,-2.92,3.1,3.35,-1.23,0.31,-0.49,-1.45,-5.44,-3.66
"DATA.906847",4.96,3.62,2.29,2.92,5.13,-1.72,3.42,3.22,1.82,1.08,4.39,3.89,3.69,1.61
"DATA.906846",4.4,1.58,2.89,2.31,4.64,-0.5,2.81,2.53,2.78,2.94,3.71,3.52,3.02,0.93
"DATA.906844",1.74,2.59,1.01,-1.5,-0.83,-3.29,2.57,2.34,2.54,-0.18,3.29,-2.91,0.56,-5.7
"DATA.906841",4.25,3.34,1.26,0.03,3.25,-4.83,1.04,1.2,3.26,1.72,1.66,2.6,2.36,-0.23
"DATA.906838",3.13,3.32,3.5,-0.64,1.74,-3.49,3.32,3.32,3.32,3.06,-0.57,2.76,2.52,0.9
"DATA.906836",3.85,2.45,0.86,-0.97,4.07,-4.67,2.46,2.29,1.91,-5.05,3.15,3.12,2.46,-0.06
"DATA.906834",1.1,2.97,1.42,0.46,2.85,0.16,2.65,2.4,1.98,0.25,0.19,3.57,3.14,0.15
"DATA.906831",2.57,2.83,1.04,1.67,4.06,-4.17,2.29,2.59,1.79,0.36,3.41,3.47,2.32,0.76
"DATA.906813",4.22,2.27,2.53,-1.43,4.78,-0.02,3.17,3.15,1.92,-0.37,-0.39,2.96,2.05,0.1
"DATA.906812",4.66,2.64,2.66,-1.97,5,-0.67,3.38,3.45,3.46,1.72,4.17,3.53,2.99,1.4
"DATA.906808",5.31,3.09,1.29,0.75,5.29,-2.85,3.51,3.38,3.13,3.92,4.68,3.47,2.62,1.9
"DATA.906800",0.76,1.65,0.15,0.23,1.44,-6.12,0.69,2.21,1.33,-0.85,-2.8,2.61,0.83,-0.74
"DATA.906794",4.65,2.87,2.42,-1.06,4.88,-4.02,0.29,0.04,2.5,2.36,2.52,2.52,3.26,-1.25
"DATA.906765",3.81,3.17,3.28,1.54,3.84,-3.57,2.92,2.81,1.45,0.4,3.23,2.9,3.11,1.09
"DATA.906763",2.55,0.92,0.22,2.03,1.68,-4.98,2.45,2.18,0.51,0.05,-1.05,3.54,-0.34,0.88
"DATA.906746",3.98,1.16,2.02,-3.06,5.05,-4.7,1.38,2.1,1.02,1.48,0.31,1.17,3.01,-0.29
"DATA.905990",4.61,4.15,1.29,1.1,4.84,-4.54,0.56,2.04,2.11,-0.79,3.73,0.33,3.56,-1.49
"DATA.905989",2.98,1.45,-0.1,-2.71,5.01,-4.92,2.77,3.12,1.28,-0.17,0.2,2.5,3.51,-1.76
"DATA.905986",4.79,3.41,2.48,-0.87,5.05,-4.72,3.02,1.68,1.71,-0.15,-0.21,2.89,2.63,-2.41
"DATA.905984",3.87,1.8,0.63,-3.05,4.53,-3.62,2.55,1.88,2.67,-5.35,3.59,1.63,2.82,-1.32
"DATA.905982",5.69,3.87,5.01,-1.7,5.39,-4.11,4.25,2.65,1,1.11,4.93,3.63,3.49,-0.02
"DATA.905980",4.33,3.68,2.3,-2.1,3.58,-3.56,-0.27,0.52,0.28,0.19,0.85,-0.18,3.3,-1.14
"DATA.905978",3.45,3.96,4.25,-2.19,4.38,-4.27,3.83,3.18,0.48,-0.49,0.25,1.38,2.12,-2.52
"DATA.905977",2.5,3.77,1.82,-0.5,0.46,-3.21,3.29,3.76,3.31,1.92,2.46,-2.09,3.51,-4.08
"DATA.905972",4.3,3.09,-0.18,-2.14,4.49,-4.48,2.03,2.45,0.62,-0.44,1.43,0.47,3.15,-4.14
"DATA.905967",4.66,3.01,4.15,0.97,2.84,0.46,1.02,1.77,4.19,1.7,3.87,3.31,3.94,0.91
"DATA.905958",1.97,2.48,1.81,0.53,2.64,-5.3,2.29,1.7,1.27,-0.11,-2.68,2.16,1.28,-0.32
"DATA.905955",4.71,3.12,4.13,-2.17,3.91,-0.42,3.43,3.19,3.31,1.14,1.24,-1.8,2.19,-4.02
"DATA.905952",2.44,2.13,1.93,0.33,2.71,-4.67,2.18,2.36,2.4,0,-2,1.85,0.86,-0.81
"DATA.905942",3.31,2.74,2.9,-3.28,4.88,-0.8,3.3,2.24,3.3,1.27,1.21,2.61,2.5,-2.12
"DATA.905940",4.03,2.31,1.67,-1.51,3.6,-4.09,2.5,2.46,0.39,2,1.87,0.49,-4.5,-2.77
"DATA.905938",3.11,2.96,0.86,-0.62,4.47,-4.88,2.96,2.96,2.93,-0.64,0.33,0.48,1.32,-5.11
"DATA.753623",4.45,3.44,2.27,-1.98,3.57,-6.24,1.8,1.2,-0.03,-0.73,0.06,0.55,2.74,-1.64
"DATA.753621",5.26,3.16,2.11,-2.16,4.72,-5.09,-1.4,0,0.35,-0.36,4.6,1,2.95,-0.19
"DATA.753620",2.46,2.38,2.53,2.99,5.31,-2.52,3.59,3.4,3.2,3.31,-0.61,2.01,3.67,-3.65
"DATA.753618",4.28,2.89,1.37,0.12,4.38,-2.24,2.97,2.72,1.57,0.58,-2.19,2.32,2.64,-0.91
"DATA.753616",4.48,2.53,1.8,0.34,4.82,-1.9,2.16,3.22,1.71,-0.51,-0.29,1,2.5,-1.67
"DATA.753614",4.56,1.81,4.07,-2.04,3.06,-6.67,0.96,0.74,-1.06,-0.38,1.42,1.86,3.62,-4.25
"DATA.753612",4.89,3.47,1.91,2.17,5.01,0.15,3.47,3.28,3.5,-0.67,3.22,4.08,3.5,1.42
"DATA.753595",3.92,3.54,1.31,1.32,4.34,-6.4,1.88,2.3,0.81,-1.78,0.34,0.26,3.4,-1.31
"DATA.753594",4.44,3.03,2.77,1.07,3.67,-2.77,1.76,2.36,2.98,1.4,3.74,3.62,2.31,0.97
"DATA.753592",3.7,1.86,1.24,-3.72,3.32,-5.99,2.63,1.57,0.75,-0.61,0.22,1.18,1.6,-2.18
"DATA.753589",4.8,3.53,2.9,3.11,3.59,-0.42,3.91,3.74,3.56,2.13,4.54,4.27,3.81,1.82
"DATA.753588",4.92,2.54,3.79,-1.88,4.38,-3.05,3.54,2.36,3.43,-0.16,4.21,4.11,2.91,1.32
"DATA.753583",4.96,3.83,2.37,0.73,3.31,-3.68,1.39,1.34,2.1,0.12,3.02,1.52,1.94,1.79
"DATA.753582",5.01,3.58,3.53,1.99,3.6,-4.24,2.03,1.87,1.73,0.59,3.78,4.18,3.62,-0.28
"DATA.753581",2.64,3.39,2.32,0.81,5.04,-3.23,2.19,2.04,2.83,1.79,3.15,0.26,3.43,-3.23
"DATA.753579",2.41,2.62,0.2,-1.39,3.19,-2.75,1.79,3.51,2.2,1.02,2.72,-2.41,3.39,-4.34
"DATA.753565",4.73,2.09,1,2.24,3.41,-3.11,2.97,2.31,0.96,0.95,3.96,3.83,2.34,0.45
"DATA.753564",4.74,2.68,1.98,0.49,3.08,-3.73,3.05,2.45,2.73,1.62,4.03,2.73,3.29,1.02
"DATA.753563",3.01,2.89,3.63,1.3,3.9,-0.02,2.95,2.94,2.9,1.69,3.64,0.85,2.95,-0.27
"DATA.753555",4.57,3.35,3.11,-0.07,4.56,-1.98,2.7,2.87,2.71,3.37,1.02,1.29,3.28,-2.87
"DATA.753552",4.21,3.18,2.74,-3.07,3.7,-0.46,2.2,-2.36,2.3,1.63,0.82,3.43,1.55,0.1
"DATA.753551",4.68,3.67,4.3,0.57,4.91,-0.75,2.18,2.37,3.88,3.24,4.67,4.06,4.01,1.9
"DATA.753548",1.6,1.69,2.1,0.43,3.27,-4.17,2.47,2.46,-2.75,-0.68,0.59,2.33,0.38,-0.62
"DATA.753547",3.22,2.76,3.79,2.71,3.22,-3.57,1.56,3.29,2.81,-0.05,1.96,4.06,0.63,1.37
"DATA.753546",4.91,3.75,1.96,-0.63,2.42,-1,1.82,3.75,3.64,3.25,1.9,-3.16,3.75,-5.52
"DATA.753532",2.14,2.84,3.69,-2.98,4.49,0.58,3.97,3.44,1.38,2.5,1.28,-2.54,4.08,-1.62
"DATA.753531",2.45,2.7,1.06,-2.99,3.13,-5.77,-1.86,-1.59,0.01,-0.34,-1.16,-0.52,2.2,-3.77
